model,prompt_id,category,tps,ttft,latency,peak_vram_mb,error,temp_0.0_success,temp_0.0_error,temp_0.7_success,temp_0.7_error
starcoder2:3b,37,Coding Generation,0.0,0.0,0.0,2996.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,38,Coding Generation,0.0,0.0,0.0,2996.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,39,Coding Generation,0.0,0.0,0.0,2996.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,40,Coding Generation,0.0,0.0,0.0,2996.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,41,Coding Generation,0.0,0.0,0.0,2996.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,42,Coding Generation,0.0,0.0,0.0,2996.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,43,Coding Generation,0.0,0.0,0.0,2996.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,44,Coding Generation,0.0,0.0,0.0,2996.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,45,Coding Generation,0.0,0.0,0.0,2996.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,46,Coding Generation,0.0,0.0,0.0,2996.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,47,Coding Generation,0.0,0.0,0.0,2996.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,48,Coding Generation,0.0,0.0,0.0,2996.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,49,Coding Generation,0.0,0.0,0.0,2996.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,50,Coding Generation,0.0,0.0,0.0,2996.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
